Material,Mechanical Strength / Toughness,Elasticity / Modulus,Density,Hardness,Fatigue Strength,Wear Resistance,Thermal Conductivity,Thermal Expansion,Operating Temperature,Creep Resistance,Corrosion Resistance,Specific Heat,Glass Transition Temperature (Tg),Chemical Compatibility,Cost,Availability,Manufacturability & Weldability,Lifecycle Cost,Recyclability,Toxicity,Sustainability,Compliance
Steel (AISI 1045),570 MPa,210 GPa,7.85 g/cm3,170 HB,350 MPa,High,50 W/mK,12e-6 /K,-20 to 600 °C,Moderate,Low,0.49 J/gK,N/A,Good,0.8 USD/kg,Global,Excellent,120 USD/kg,Yes,Low,Moderate,ASTM
Stainless Steel (304),520 MPa,193 GPa,8.0 g/cm3,200 HB,240 MPa,Medium,16 W/mK,17e-6 /K,-200 to 870 °C,Good,High,0.50 J/gK,N/A,Excellent,2.0 USD/kg,Global,Good,220 USD/kg,Yes,Low,Moderate,"ASTM, ISO"
Aluminum (6061-T6),310 MPa,69 GPa,2.70 g/cm3,95 HB,95 MPa,Low,167 W/mK,23.6e-6 /K,-200 to 200 °C,Low,Medium,0.90 J/gK,N/A,Good,1.8 USD/kg,Global,Excellent,150 USD/kg,Yes,Low,Moderate,ASTM
Copper (C110),210 MPa,110 GPa,8.96 g/cm3,35 HB,70 MPa,Low,401 W/mK,16.5e-6 /K,-200 to 400 °C,Moderate,Medium,0.385 J/gK,N/A,Excellent,6.5 USD/kg,Global,Good,550 USD/kg,Yes,Low,Moderate,ASTM
Titanium (Ti-6Al-4V),900 MPa,114 GPa,4.43 g/cm3,350 HB,500 MPa,Medium,6.7 W/mK,8.6e-6 /K,-250 to 600 °C,Good,High,0.52 J/gK,N/A,Excellent,30.0 USD/kg,Global (specialty),Moderate,3200 USD/kg,Yes,Low,Low,"ASTM, ISO"
Inconel (718),1100 MPa,205 GPa,8.19 g/cm3,400 HB,600 MPa,High,11.4 W/mK,13e-6 /K,-200 to 980 °C,Excellent,High,0.435 J/gK,N/A,Excellent,50.0 USD/kg,Local (specialty),Poor,8000 USD/kg,Yes,Low,Low,ASTM
Magnesium (AZ31),260 MPa,45 GPa,1.78 g/cm3,55 HB,90 MPa,Low,96 W/mK,26e-6 /K,-100 to 150 °C,Low,Low,1.02 J/gK,N/A,Poor,2.5 USD/kg,Global,Moderate,180 USD/kg,Yes,Low,Moderate,ISO
Zinc (Zn),120 MPa,108 GPa,7.14 g/cm3,30 HB,40 MPa,Low,116 W/mK,30e-6 /K,-50 to 250 °C,Low,Medium,0.39 J/gK,N/A,Moderate,2.2 USD/kg,Global,Good,90 USD/kg,Yes,Low,Moderate,ASTM
Brass (Cu-Zn),350 MPa,100 GPa,8.5 g/cm3,70 HB,140 MPa,Medium,120 W/mK,19e-6 /K,-50 to 300 °C,Moderate,High,0.38 J/gK,N/A,Good,3.0 USD/kg,Global,Excellent,240 USD/kg,Yes,Low,Moderate,ASTM
Bronze (Cu-Sn),400 MPa,110 GPa,8.8 g/cm3,80 HB,180 MPa,High,60 W/mK,17e-6 /K,-50 to 400 °C,Good,High,0.38 J/gK,N/A,Excellent,4.0 USD/kg,Global,Good,300 USD/kg,Yes,Low,Moderate,ASTM
Tungsten,800 MPa,400 GPa,19.3 g/cm3,350 HB,500 MPa,Excellent,173 W/mK,4.5e-6 /K,-200 to 3400 °C,Excellent,Low,0.13 J/gK,N/A,Poor,25.0 USD/kg,Local (rare),Poor,4500 USD/kg,Yes,Low,Low,ISO
Cast Iron,200 MPa,100 GPa,7.2 g/cm3,150 HB,120 MPa,High,55 W/mK,10.8e-6 /K,-50 to 900 °C,Moderate,Low,0.46 J/gK,N/A,Moderate,0.6 USD/kg,Global,Poor,80 USD/kg,Yes,Medium,Moderate,ASTM
